Product Name,Price,Maximum Power,Displacement,Brake Front,Tire Type,Rating,Number of Ratings,Number of Reviews
BAJAJ Dominar (400 UG) Booking for Ex-Showroom Price,"₹2,32,833",Maximum Power: 29.4 KW @ 8800 rpm,Displacement: 373.3 cc,Brake Front: Disc,Tire Type: Tubeless,4.2,17,2
BAJAJ Pulsar NS 200 (UG) Booking for Ex-Showroom Price,"₹1,61,594",Maximum Power: 18 kW (24.5 PS) @ 9750 rpm,Displacement: 199.5 cc,Brake Front: Disc,Tire Type: Tubeless,4.5,30,2
BAJAJ Platina 110 (Drum) Booking for Ex-Showroom Price,"₹73,606","Maximum Power: 8.6 Ps @ 7,000rpm",Displacement: 115.45 cc,Brake Front: Drum,Tire Type: Tubeless,4.3,64,10
Hero Xtreme 160R 4V Booking for Ex-Showroom Price,"₹1,38,000",Maximum Power: 16.9 PS (at 8500 RPM),Displacement: 163.2 cc,Brake Front: Disc,Tire Type: Tubeless,4.6,261,31
BAJAJ Avenger (160 STREET) Booking for Ex-Showroom Price,"₹1,20,870",Maximum Power: 11 KW @ 8500 rpm,Displacement: 160 cc,Brake Front: Disc,Tire Type: Tubeless,4.3,46,3
BAJAJ PULSAR N 250 Booking for Ex-Showroom Price,"₹1,53,197",Maximum Power: 15 kW (20.4 PS) @ 8500 rpm,Displacement: 249.07 cc,Brake Front: Disc,Tire Type: Tubeless,4.7,36,3
BAJAJ CT 110X Booking for Ex-Showroom Price,"₹70,035","Maximum Power: 8.6 Ps @ 7,000rpm",Displacement: 115.45 cc,Brake Front: Drum,Tire Type: Tubed,4.4,52,8
BAJAJ Pulsar NS 125 (UG) Booking for Ex-Showroom Price,"₹1,08,467",Maximum Power: 8.82 kW @ 8500 rpm,Displacement: 124.45 cc,Brake Front: Disc,Tire Type: Tubeless,4.4,62,6
Hero Glamour (Disc) Booking for Ex-Showroom Price,"₹87,948",Maximum Power: 7.75 KW (at 7500 rpm),Displacement: 125 cc,Brake Front: Disc,Tire Type: Tubeless,4.4,"1,046",135
BAJAJ Pulsar NS 160 (UG) Booking for Ex-Showroom Price,"₹1,47,334",Maximum Power: 12.7 kW (17.2 PS) @ 9000 rpm,Displacement: 160.3 cc,Brake Front: Disc,Tire Type: Tubeless,4.9,18,2
Hero HF Deluxe (i3S with Self Start) Booking for Ex-Showroom Price,"₹69,864",Maximum Power: 7.91,Displacement: 97.22 cc,Brake Front: Drum,Tire Type: Tubed,4.4,"1,298",120
Hero HF Deluxe (Non i3S with Self Start) Booking for Ex-Showroom Price,"₹68,264",Maximum Power: 7.91,Displacement: 97.22 cc,Brake Front: Drum,Tire Type: Tubed,4.4,"6,773",508
Hero Super Splendor Xtec (Disc) Booking for Ex-Showroom Price,"₹90,228",Maximum Power: 10.7 BHP (at 7500 RPM),Displacement: 125 cc,Brake Front: Disc,Tire Type: Tubeless,4.5,"3,550",340
BAJAJ CT 125X Booking for Ex-Showroom Price,"₹78,125",Maximum Power: 10.9 Ps @8000rpm,Displacement: 124.45 cc,Brake Front: Disc,Tire Type: Tubeless,N/A,N/A,N/A
